FID,roof,road,watr,conc,Veg,dry,irr,H,W
358,0,0,0.0096,0.0144,0.7648,0.0992,0.112,0,30
359,0.0192,0,0.0064,0.0432,0.6672,0.1824,0.0816,0.192,29.424
360,0.0544,0,0,0.1568,0.5328,0.144,0.112,0.544,28.368
361,0.0032,0,0.0048,0.3696,0.3616,0.2016,0.0592,0.032,29.904
362,0.006153846,0,0.007692308,0.535384615,0.252307692,0.189230769,0.009230769,0.061538462,29.81538462
363,0.6288,0,0,0.0912,0.1392,0.1376,0.0032,6.288,11.136
364,0.5424,0,0,0.184,0.1024,0.1648,0.0064,5.424,13.728
365,0,0,0,0.9696,0,0.0304,0,0,30
366,0,0,0,0.6176,0.2608,0.0864,0.0352,0,30
367,0.070769231,0,0,0.087692308,0.653846154,0.133846154,0.053846154,0.707692308,27.87692308
368,0.3664,0,0,0.0944,0.4544,0.0832,0.0016,2.29024,19.008
369,0.064,0,0,0.624,0.184,0.1248,0.0032,0.2944,28.08
370,0.4432,0,0,0.0832,0.3712,0.1024,0,2.03872,16.704
371,0.4608,0,0,0.0576,0.1984,0.2832,0,2.11968,16.176
